Confidence,Image_name,Name
0.970033264,Blur-Tools/axe1.jpg,Handle
0.908840103,Blur-Tools/axe2.jpg,Handle
,Blur-Tools/axe3.jpg,No Result
0.891031189,Blur-Tools/axe4.jpg,Handle
0.989502563,Blur-Tools/axe5.jpg,Handle
0.859174042,Blur-Tools/flash1.jpg,Flashlight
0.559897919,Blur-Tools/flash2.jpg,Cylinder
0.570232697,Blur-Tools/flash3.jpg,Sunlight
0.556200218,Blur-Tools/flash3.jpg,Astronomy
0.556200218,Blur-Tools/flash3.jpg,Outer Space
0.556200218,Blur-Tools/flash3.jpg,Space
0.556200218,Blur-Tools/flash3.jpg,Universe
0.515603294,Blur-Tools/flash3.jpg,Aircraft
0.515603294,Blur-Tools/flash3.jpg,Airplane
0.515603294,Blur-Tools/flash3.jpg,Jet
0.515603294,Blur-Tools/flash3.jpg,Transportation
,Blur-Tools/flash4.jpg,No Result
0.960194092,Blur-Tools/flash5.jpg,Flashlight
0.508969955,Blur-Tools/flash5.jpg,Glasses
0.791455765,Blur-Tools/hammer1.jpg,Handle
,Blur-Tools/hammer2.jpg,No Result
,Blur-Tools/hammer3.jpg,No Result
,Blur-Tools/hammer4.jpg,No Result
,Blur-Tools/hammer5.jpg,No Result
,Blur-Tools/plier1.jpg,No Result
,Blur-Tools/plier2.jpg,No Result
,Blur-Tools/plier3.jpg,No Result
,Blur-Tools/plier4.jpg,No Result
,Blur-Tools/plier5.jpg,No Result
0.956057816,Blur-Tools/saw1.jpg,Hoe
0.50658371,Blur-Tools/saw2.jpg,Glasses
,Blur-Tools/saw3.jpg,No Result
0.505863419,Blur-Tools/saw4.jpg,Glasses
0.532370453,Blur-Tools/saw5.jpg,Comb
,Blur-Tools/scissor1.jpg,No Result
0.681819916,Blur-Tools/scissor2.jpg,Pin
0.840767288,Blur-Tools/scissor3.jpg,Key
,Blur-Tools/scissor4.jpg,No Result
,Blur-Tools/scissor5.jpg,No Result
,Blur-Tools/screw1.jpg,No Result
0.874721146,Blur-Tools/screw2.jpg,Screwdriver
,Blur-Tools/screw3.jpg,No Result
0.546307487,Blur-Tools/screw4.jpg,Sunglasses
0.988347702,Blur-Tools/screw5.jpg,Screwdriver
0.702457809,Blur-Tools/shovel1.jpg,Pin
0.516376915,Blur-Tools/shovel1.jpg,Glasses
0.814035492,Blur-Tools/shovel2.jpg,Hoe
0.505031929,Blur-Tools/shovel2.jpg,Clothing
0.505031929,Blur-Tools/shovel2.jpg,Dress Shirt
0.505031929,Blur-Tools/shovel2.jpg,Shirt
0.96354393,Blur-Tools/shovel3.jpg,Blender
0.96354393,Blur-Tools/shovel3.jpg,Mixer
0.974793472,Blur-Tools/shovel4.jpg,Hoe
,Blur-Tools/shovel5.jpg,No Result
0.72077301,Blur-Tools/tape1.jpg,Clothing
0.72077301,Blur-Tools/tape1.jpg,Hardhat
0.72077301,Blur-Tools/tape1.jpg,Helmet
0.536650352,Blur-Tools/tape2.jpg,Clothing
0.536650352,Blur-Tools/tape2.jpg,Hardhat
0.536650352,Blur-Tools/tape2.jpg,Helmet
0.519879951,Blur-Tools/tape2.jpg,Cap
